iterations optimal default
1 13001 13001
2 26002 99463
3 39003 149424
4 52004 199286
5 65005 249148
6 78006 299010
7 91007 348923
8 104008 398836
9 117009 448749
10 130010 498662
11 143011 548626
12 156012 598590
13 169013 648554
14 182014 698518
15 195015 748482
16 208016 798446
17 221017 848410
18 234018 898422
19 247019 948434
20 260020 998446
21 273021 1048458
22 286022 1098521
23 299023 1148584
24 312024 1198647
25 325025 1248710
26 338026 1298824
27 351027 1348938
28 364028 1399052
29 377029 1449166
30 390030 1499280
31 403031 1549394
32 416032 1599508
33 429033 1649670
34 442034 1699832
35 455035 1749994
36 468036 1800156
37 481037 1850369
38 494038 1900582
39 507039 1950795
40 520040 2001008
41 533041 2051272
42 546042 2101536
43 559043 2151800
44 572044 2202064
45 585045 2252376
46 598046 2302688
47 611047 2353000
48 624048 2403312
49 637049 2453675
50 650050 2504038
51 663051 2554401
52 676052 2604764
53 689053 2655127
54 702054 2705490
55 715055 2755853
56 728056 2806216
57 741057 2856579
58 754058 2906942
59 767059 2957305
60 780060 3007668
61 793061 3058031
62 806062 3108394
63 819063 3158757
64 832064 3209120
65 845065 3259483
66 858066 3309846
67 871067 3360209
68 884068 3410572
69 897069 3460935
70 910070 3511298
71 923071 3561661
72 936072 3612024
73 949073 3662387
74 962074 3712750
75 975075 3763113
76 988076 3813476
77 1001077 3863839
78 1014078 3914202
79 1027079 3964565
80 1040080 4014928
81 1053081 4065291
82 1066082 4115654
83 1079083 4166017
84 1092084 4216380
85 1105085 4266743
86 1118086 4317106
87 1131087 4367469
88 1144088 4417832
89 1157089 4468195
90 1170090 4518558
91 1183091 4568921
92 1196092 4619284
93 1209093 4669647
94 1222094 4720010
95 1235095 4770373
96 1248096 4820736
97 1261097 4871099
98 1274098 4921462
99 1287099 4971825
100 1300100 5022188
